,노래
364,  cheap sunglasses    John K  
365,  Rain    태연  TAEYEON   
366,  어떻게 이별까지 사랑하겠어  널 사랑하는 거지    AKMU  악뮤   
367,  기다릴게    하동균  
368,  사랑하기 싫어    봉구  
369,  Gone    영지  
370,  To Die For  Acoustic     로제  ROSÉ   
371,  Rosario  Feat. CL  ZICO     Sam Smith  
372,  rainy day    에픽하이  EPIK HIGH   
373,  LMM    휘성  Realslow   
374,  사랑 못해  남들 쉽게 다 하는 거    태일  블락비   
375,  멜로디    청하  
376,  사랑한단 거짓말은 안 할래    화사  Hwa Sa   
377,  함께 했는데 이별은 나 혼자인 거야    먼데이 키즈  Monday Kiz   
378,  X  걸어온 길에 꽃밭 따윈 없었죠     ASH ISLAND  
379,  그리워하면 그댈 만날까봐    먼데이 키즈  Monday Kiz   
380,  오월의 어느 봄날  Feat. 첸 CHEN      최현준  V.O.S   
381,  혼술하고 싶은 밤    이소정  
382,  가을밤에 든 생각    청하  
383,  사실 나는  Feat.전건호     김나영  
384,  널 사랑했던 한 사람    임한별  
385,  안녕과 안녕으로    벤  
386,  Daybreak  Minhyun&JR     잔나비  
387,  사랑은 지날수록 더욱 선명하게 남아    경서예지  
388,  처음이라서    펀치  Punch   
389,  Purpose  Stripped     이예준  
390,  안녕  오늘의 그대에게    뉴이스트  
391,  Like Strangers Do    전상근  
392,  반만    정효빈  
393,  어떻게 지내  Prod. By VAN.C     Etham  
394,  AND I    임한별  
395,  아름답고도 아프구나    AJ Mitchell  
396,  Lonely Night    진민호  
397,  I’ll Still Have Me    오반  
398,  아무렇지 않게  안녕    뉴이스트 W  
399,  넌 내가 보고 싶지 않나 봐    비투비  
400,  사랑은 늘 도망가    임영웅  
401,  코 끝이 찡하게    차가을  
402,  혼자 사랑하고 미워해    백예슬  
403,  비 오는 날 듣기 좋은 노래  Feat. Colde     에픽하이  EPIK HIGH   
404,  Your Lights    이수  엠씨더맥스   
405,  너와 나 우리  Feat. ZELO of B.A.P     이예준  
406,  별이 쏟아지는 밤    려욱  RYEOWOOK   
407,  헤픈 우연    헤이즈  Heize   
408,  Falling    Harry Styles  
409,  High    5 Seconds of Summer  
410,  If the World Was Ending  feat. Julia Michaels   Feat. Julia Michaels     JP Saxe  
411,  그냥 안아달란 말야    다비치  
412,  2 soon    keshi  
413,  r u ok    Tate McRae  
414,  cheap sunglasses    John K  
415,  Rain    태연  TAEYEON   
416,  어떻게 이별까지 사랑하겠어  널 사랑하는 거지    AKMU  악뮤   
417,  기다릴게    하동균  
418,  사랑하기 싫어    봉구  
419,  Gone    영지  
420,  To Die For  Acoustic     로제  ROSÉ   
421,  Rosario  Feat. CL  ZICO     Sam Smith  
422,  rainy day    에픽하이  EPIK HIGH   
423,  LMM    휘성  Realslow   
424,  사랑 못해  남들 쉽게 다 하는 거    태일  블락비   
425,  멜로디    청하  
426,  사랑한단 거짓말은 안 할래    화사  Hwa Sa   
