노래,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
"('HERE I COME', '신화')",4,0,0,0,0,1,0,5,3,0,0
"('Trouble Maker', '트러블메이커')",1,0,0,1,1,0,0,7,5,0,0
"('PLAY ME (Feat. 식케이, PENOMECO)', 'WOOGIE')",0,0,0,0,0,0,0,5,0,0,0
"('Cereal (Feat. ZICO)', 'Crush')",0,0,0,0,0,0,0,5,0,0,0
"('Wanna Love You', '폴킴')",2,0,2,2,0,0,0,5,2,0,3
"('야시시', 'NS 윤지')",4,1,1,2,0,1,0,7,0,7,1
"('Lovestar (#럽스타)', '나비 (Navi)')",0,0,0,0,0,0,0,5,0,0,0
"('아슬해', 'EXID')",1,1,0,1,3,0,0,5,0,0,2
"('X (Cross The Moonlight) (Feat. 이라온)', '마크툽 (MAKTUB)')",17,0,1,0,2,1,0,6,1,5,0
"('매일밤', 'EXID')",0,0,0,0,0,0,0,5,0,0,0
"('I Got Love', '태연 (TAEYEON)')",5,2,0,0,0,0,0,9,0,0,0
